Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry, for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip section 4 in Part 1

For volume AJB 58 Index to the Literature of 1958, started 23 Nov 2012, finished 24 Dec 2012, proofread 1 Mar 2013.  Proofed with BookEntry software


1 58.01(0).14 W. M. Smart, The Combination of Observations, London-New York, Cambridge University Press, 1958, 14+253 pp, 35s and $6.00, Ciel et Terre 74 290 and JBAA 68 272 and J RAS Canada 53 186 and Proc. Phys. Soc. 72 484 and Urania København 15 15, 

2 58.02(0).20 D. ter Haar, Introduction to the Physics of Many-Body Systems, New York-London, Interscience Publishers, 1958, 8+127pp, , , other Interscience Tracts on Physics and Astronomy; 

3 58.02(0).44 N. B. Slater, The Development and Meaning of Eddington’s Fundamental Theory, London-New York, Cambridge University Press, 1957, 12+299 pp, 40s, Nature 181 214 and Obs 78 215, 

4 58.02(0).51 G. Toraldo di Francia, La diffrazione della luce, Torino, Edizioni scientifiche Einaudi, 1958, 12+530 pp, L 8000, Scientia 94 147, 

5 58.02(0).58 W. D. Wright, The Measurement of Colour, London, Hilger and Watts Ltd., 1958, 9+263 pp, 52s, JBAA 68 224, 2nd edition;

6 58.03(0).01 J. Bauschinger and J. Peters, Logarithmisch-Trignometrische Tafeln mit acht Dezimalstellen, Wienheim-Bergstaße, Verlag H. R. Engelmann, 1959, Band 1 26+338 pp and Band 2 951 pp, , Math. Tables 12 148, 3rd edition;

7 58.03(0).02 C. Faucher, Table trignométriques contenant les valeurs naturelles des sinus et des cosinus de centigrade en centigrade du quadrant avec dix décimales, Paris, Gauthier-Villars, 1957, 51 pp, ffr 500, Math. Tables 12 148, 

8 58.03(0).03 L. N. Karmasina and L. W. Kurotschkina, Tafeln von Interpolations-koeffizienten, Moskau, Akad. Wiss. UdSSR, 1956, 376 pp, 37R. 65 Kop., Math. Tables 12 149, 

9 58.03(0).04 J. Peters, Ten-place Logarithm Table, New York, , 1957, , , Math. Tables 12 61, 

10 58.03(0).05 H. E. Salzer and G. M. Kimbro, Extension of Lindow’s tables for numerical differentiation using Newton-Stirling and Newton-Bessel differences, , , , , , Math. Tables 12 133, other no additional publishing info; 

11 58.03(0).06 , Interpolation and Allied Tables, , , , , , Math. Tables 12 99, reference AJB 56.03.08;

12 58.03(0).07 , Subtabulation: A Companion Booklet to Interpolation and Allied Tables, London, Her Majesty’s Stationery Office, 1958, 54 pp, 7s 6d, , other see also AJB 56.03.08; 

13 58.03(0).08 , Seven-Figure Trigonometrical Tables for Every Second of Time, London, Her Majesty’s Stationery Office, 1958, 101 pp, £1, J RAS Canada 53 239 and Obs 79 116 and Sky Tel. 18 462, 

14 58.03(1).09 F. L. Alt, Electronic Digital Computers, New York, Academic Press Inc., 1958, 10+334 pp, $10.00, Proc IRE 47 346, 

15 58.03(1).10 K. H. V. Booth, Programming for an Automatic Digital Calculator, New York, Academic Press, 1958, 238 pp, $7.50, Science 129 1669, also published London: Butterworths;other should be Lutterworth?; 

16 58.03(1).13 A. I. Kitow and N. A. Krinizkij, Elektronische Rechenmaschinen, Moskau-Leningrad, Verlag Akad. Wiss. UdSSR, 1958, 131 pp, 1R. 90 Kop., Priroda 48 Nr. 7 123, 

17 58.03(1).14 R. Tomovic, Calculateurs analogiques répétitifs, Paris, Masson Cie., 1958, 186 pp, fr 3, Phys Blätter 15 426, 

18 58.03(1).15 M. V. Wilkes and D. J. Wheeler and S. Gill, The Preparation of Programs for an Electronic Digital Computer, Reading MA, Addison Wesley Publ., 1957, 238 pp, $7.50, Phys. Blätter 15 42, 2nd edition;

19 58.05(0).01 I. Adler, The Sun and Its Family, New York, John Day, 1958, 128 pp, $3.00, , 

20 58.05(0).02 W. A. Albizkij and W. P. Wjasanizyn and A. N. Deutsch and M. S. Selzer and W. A. Krat and A. W. Markow and P. W. Mejkljar and O. A. Melnikow and W. B. Nikonow and W. W. Sobolew and G. A. Schajn and W. W. Scharonow, Lehrbuch der Astrophysik and Stellar-astronomie Band 1, Moskau-Leningrad, Staatsverlag für technisch-theoretische Literatur, 1951, 592 pp, 21 R. 75 Kop., Astr. News Letter Nr. 59 12, in Russian;

