Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, pagination, cost, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip subsection 34 and 35 in Part 4


For volume AJB 65 Index to the Literature of 1965

BookEntry 8 <ar 2013
1 65.144(1).53 A. Blaauw and M. Schmidt ed., Galactic Structure; Stars and Stellar Systems Vol. 5., Chicago-London, Univ. of Chicago Press, 1965, 20+606 pp, $15.00 and £5 5s, Ann d’Astrophys 29 409 and Science 151 679 and Sky Tel. 31 168 and Sky Tel. 31 357, 

2 65.144(2).60 G. Contopoulos and B. Strömgren, Tables of Plane Galactic Orbits, Greenbelt MA, Goddard Space Flight Center – NASA, 1965, 39+181 pp, , , 

3 65.135(0).44 V. D. Hopper, Cosmic Radiation and High Energy Interactions, Englewood Cliffs NJ, Prentice-Hall Inc., 1965, 234 pp, $12.95 and 57s 6d, Ann d’Astrophys 28 1039 and Geochim. Cosmochim.  Acta 29 1371 and J. Astronaut. Sci. 12 106 and Planet. Space Sci. 13 1315, also published London: Logos Press Ltd.;

4 65.135(0).74 A. E. Sandström, Cosmic Ray Physics, Amsterdam, North-Holland Publishing Company, 1965, 10+421 pp, hfl 40.00 and $15.00, Nature 208 315 and Phil. Mag. (8) 12 878 and Phys. Abstr. 69 389 and Science 149 291, also published New York: Interscience Publishers Inc.;

5 65.135(0).85 D. W. Skobelsyn ed., Cosmic Rays, New York, Consultants Bureau, 1965, 254 pp, $27.50, J. Astronaut. Sci. 13 93, translated from Russian;

6 65.121(0).16 E. Rybka ed., Rocznik Astronomiczny Obserwatorium Krakowskiego 1966 International Supplement Nr. 37, Kraków, Państwowe Wydawnictwo Naukowe, 1965, 124 pp, zł 72, , other ephemeris for 787 variable stars?; 

7 65.111(0).01 R. G. Aitken, The Binary Stars, New York, Dover Publications Inc., 1964, 309 pp, $2.00, J. Astronaut. Sci. 12 107 and PAT 46 157, 

8 65.94(0).12 F. L. Boschke, Erde von anderen Sternen; Der Flug der Meteorite, Düsseldorf-Wien, Econ-Verlag, 1965, 352 pp, DM 19.80, Orion Schaffhausen 11 156 and VdS Nachr. 14 168, 

9 65.94(0).52 E. L. Krinow, Boten des Weltalls, Moskau, Verlag Geophys. Literatur, 1963, 144 pp, zł 4.90, Urania Kraków 36 25, 

10 65.94(0).65 B. Mason, Meteorite, Moskau, <<Mir>>, 1965, 305 pp, 1R. 25 Kop., AJ UdSSR 43 238, reprint of AJB 62.94.35;translated from English by W. I. Kudrjaschowa;edited by E. L. Krinow;in Russian;

11 65.94(0).80 J. Pokrzywnicki, Meteorites of Poland and Meteorites in the Polish Collection, Warschau, Wydawnictwa Geologiczne Palac Staszica, 1964, 176 pp, zł 55.00, Sky Tel. 30 240, other check publisher!; 

12 65.94(0).111 H. Dingle and G. R. Martin and E. Paneth ed., Chemistry and Beyond, New York, Interscience Publishers, 1964, 21+285 pp, $6.00, Irish AJ 7 166 and Publ. ASP 78 185 and Sky Tel. 30 240 and Sky Tel. 31 163, 

13 65.94(5).211 H. H. Nininger, Arizona’s Meteorite Crater, Denver CO, American Meteoritic Laboratory, 1965, 232 pp, $2.25, Sky Tel. 30 102, reprint of AJB 56.83.76;

14 65.81(0).08 G. H. Darwin, The Tides and Kindred Phenomena in the Solar System, Moskau, <<Nauka>>, 1965, 252 pp, 96 Kop., RJ UdSSR 1965 11.51.139, reprint of AJB 62.81.06;translated from English;in Russian;

15 65.81(0).18 J. H. Jackson, Pictorial Guide to the Planets, New York, T. Y. Crowell Company, 1965, 216 pp, $7.95, J RAS Canada 60 40 and Sky Tel. 29 378 and Sky Tel. 30 164 and Spaceflight 8 108, 

16 65.81(0).41 W. Sandner, Satellites of the Solar System, London, Faber & Faber Ltd., 1965, 151 pp, $6.50 and 36 s, HeD 64 51 and Irish AJ 7 92 and J. Astr. Soc. Victoria 19 70 and MN ASSA 25 17 and NAT 1965 105 and Nature 210 73 and Obs 86 39 and Orion Schaffhausen 10 239 and Sky Tel. 30 372 and Sky Tel. 31 223 and Southern Stars 21 112 and Spaceflight 8 73 and Sterne 42 79 and Strolling Astr. 19 86, translated from German by A. Helm;also published New York: American Elsevier Publishing Co. Inc.;

