ID,Shelf Index,M Index,Title,Author(s),City,Publisher,Date,Ed.,Prt.,Last Page,Comments
67,C17,--,"An Elementary Treatise on Fourier's Series and Spherical, Cylindrical, and Ellipsoidal Harmonics","Byerly, William Elwood",Boston,Ginn & Company,1895 (1893),,,287,This books is not stamped as being from the W. J. McDonald Library.  In addition is has a Library of Congress shelf mark on the title page and  'McDonald Observatory Sept 11 1939' on the rear past down
27,A27,000M,Pocket Dissection Kit,,,,,,,,laid in with a note from Harlan Smith to Kurt Laughlin dtd 23 Sept. 1971
,,001M,Principles of Biology,"Spencer, Herbert",,Appleton,1898,,,,
61,C11,002M,The Man that Corrupted Hadleyburg and other stories and essays,"Twain, Mark",New York,Harper & Brothers Publishers,1900,,,398,
,,003M,Economic Entomology,"Smith, John B.",,Lippincott,1896,,,,
25,A25,004M,Disease in Plants,"Ward, H. Marshall",London-New York,The Macmillan Co.,1901,,,309,
5,A05,005M,The Plant World,"Vincent, Frank",New York,D. Appleton & Co.,1897,,,228,part of Appleton's Home Reading Books. Twleve pages of advertisments in rear
48,B21,006M,The Complete Angler or the Contemplative Man's Recreation of Izaak Walton and Charles Cotton,"Major, John ed.",New York,"Lovell, Coryell & Company",no date,,,354,
13,A13,007M,The Science of Life; an outline of the history of biology and its recent advances,"Thomson, J. Arthur",Chicago-New York,Herbert S. Stone & Company,1899,,,246,part of The Victorian Era Series
56,C06,008M,"Shakespeare's Poems: Venus and Adonis, Lucrece, Sonnets, etc.","Rolfe, William J. ed.",New York,Harper & Brothers Publishers,1890,,,191,
90,D18,009M,Leaves and Flowers or Objects Lessons in Biology with A Flora,"Wood, Alphonso",New York-Chicago,A. S. Barnes & Company,1860,,,346,Beautiful signature of 'Harry F. Arnold|Add Ran|Oct. 8th 1881' on second leaf. Laid in pressed leaf on pages 274
70,C20,010M,Other Worlds then Ours,"Proctor, Richard A.",New York,Hurst & Company,,,,342,American reprint of the fourth London edition
23,A23a,011Ma,Popular Oil Geology,"Ziegler, Victor",New York,John Wiley & Sons,,,,,
,A23b,011Mb,,,London,"Chapman & Hall, Limited",1918,,,149,
19,A19,012M,Lessons in Life; a series of familiar essays,"Titcomb, Timothy",New York,Charles Scribner's Sons,1893,,,321,
3,A03a,013Ma,Matter and Energy,"Soddy, Frderick",New York,Henry Holt & Co.,1912,,,253,part of The Home University Library
,A03b,013Mb,,,London ,Willams & Norgate,,,,,
