1| | | Pocket Dissection Kit| A27| 000M
2| | | Mathemati, Astronomie, Astrologie, Katalog 168| A26| 174M
3| Berridge| W.S.| Wonders of Animal Life| F09| 119M
4| Carroll| L.| Through the Looking Glass| missing| 057M
5| Collier| J.P.| Shakespeare's Complete Works; Volume 2| E19rr| 128M
6| Collier| J.P.| Shakespeare's Complete Works; Volume 7-8| G05| 129M
7| Hill| G.B. ed.| Boswell's Life of Johnson; Volume 1| D01| 133M
8| Hill| G.B. ed.| Boswell's Life of Johnson; Volume 2| D02| 134M
9| Hill| G.B. ed.| Boswell's Life of Johnson; Volume 3| D03| 135M
10| Hill| G.B. ed.| Boswell's Life of Johnson; Volume 4| D04| 136M
11| Hill| G.B. ed.| Boswell's Life of Johnson; Volume 5| D05| 137M
12| Hill| G.B. ed.| Boswell's Life of Johnson; Volume 6| D06| 138M
13| Kipling| R.| Barrack Room Ballads| missing| 169M
14| Macaulay| T.B.| The History of England from Accession of James II; Volume 1| E13| 051M
15| Macaulay| T.B.| The History of England from Accession of James II; Volume 2| E14| 052M
16| Macaulay| T.B.| The History of England from Accession of James II; Volume 3| E15| 053M
17| Macaulay| T.B.| The History of England from Accession of James II; Volume 4| E16| 054M
18| Macaulay| T.B.| The History of England from Accession of James II; Volume 5| E17| 055M
19| Major| J.| The Complete Angler or the Contemplative Man's Recreation| B21| 006M
20| Mitchell| P.C.| The Childhood of Animals| F19| 084M
21| Proctor| R.A.| Other Worlds then Ours| C20| 010M
22| Rousseau| J.J.| The Confessions of Jean Jacques Rousseau| C07| 023M
23| Goldsmith| O.| The Vicar of Wakefield| E18arr| 166M
24| Englemann| G.| Cactaceae  of the Boundary| missing| 167M
25| Holmes| O.W.| The Autocrat of the Breakfast Table| missing| 143M
26| Paley| W.| Natural Theology| missing| 024M
27| Wood| A.| Leaves and Flowers or Objects Lessons in Biology with A Flora| D18| 009M
28| Grindon| L.H.| The Phenomena of Plant Life| F06lr| 087M
29| Moore| T.| Poetical Works of Lord Byron| missing| 075M
30| Adams| W.H.D.| Temples, Tombs, and Monuments of Ancient Greece and Rome| missing| 103M
31| Tyndall| J.| Fragments of Science for Unscientific People| B08| 020M
32| Darwin| C.| Decent of Man| missing| 156M
33| Trevelyan| G.O.| Selections from the writings of Lord Macaulay| C10| 036M
34| McCook| H.C.| The Natural History of the Agricultural Ants of Texas| F17| 089M
35| Hall| A.W.| The Problem of Human Life| F15| 044M
36| Weppner| M.| The North Star and the Southern Cross; Volume 1| C14| 015M
37| Weppner| M.| The North Star and the Southern Cross; Volume 2| C15| 047M
38| Carlyle| T.| Letters and Memoranda of Jane Welsh Carlyle| missing| 123M
39| Chapman| A.W.| Flora of the Southern United States| C04| 162M
