"AuthorID","LastName","MiddleName","FirstName","Born","Died","Comments"
23,"Albrecht","A.","Miguel",,,
24,"Egret",,"Daniel",,,
25,"Alexander","Francis O'Donel","Arthur",,,
26,"Aller","H,","Lawrence",,,
27,"Ames","S.","J",,,
29,"Armitage",,"Angus",,,
30,"Arp",,"Halton",,,"Known by his nickname Chip"
31,"Batson","M.","R.",,,
32,"Bridges","M.","Patricia",,,
33,"Inge","L.","Jay",,,
34,"Batten","H.","Alan",,,
35,"Bell",,"Louis",,,
36,"Binney",,"James",,,
37,"Tremaine",,"Scott",,,
38,"Brashear",,"John",,,
39,"Scaife","Lucien","W.",,,
40,"Bruck","Alexander","Hermann",,,
41,"Bruck","T.","Mary",,,
42,"Burbidge",,"Geoffrey",,,
43,"Burbidge",,"Margaret",,,
44,"Burnham","W.","Shelly",,,
45,"Burton","B.","W.",,,
46,"Elmegreen","G.","Bruce",,,
47,"Genzel",,"R.",,,
48,"Buttman",,"Gunther",,,
49,"Chandrasekhar",,"S.",,01/01/1996 0:00:00,
50,"Christianson","E.","Gale",,,
51,"Clerke","M.","Agnus",,,
52,"Cox","P.","John",,,
53,"Cutri","M.","Roc",,,
54,"Latter","B.","William",,,
55,"Dalgarno",,"A.",,,
56,"Layzer",,"David",,,
57,"De Morgan",,"Augustus",,,
58,"Doazan",,"V.",,,
60,"Sedmak",,"G.",,,
61,"Barylak",,"M.",,,
62,"Rusconi",,"L.",,,
63,"Drake",,"Stillman",,,
64,"Eddington","Stanley","Arthur",,,
65,"Evans","S.","David",,,
66,"Deeming","J.","Terence",,,
67,"Evans","Hall","Betty",,,
68,"Goldfarb",,"Stephen",,,
70,"Mullholland","Derral","J.",,,
71,"Farnsworth","Hall","Alice",,,
72,"Flower",,"David",,,
73,"Fogg","J.","Martyn",,,
74,"Forbes","J.","Eric",,,
75,"Frost","Brant","Edwin",,,
76,"Stuve",,"Otto",,,
77,"Elvey","T.","C.",,,
78,"Garrison","F.","Robert",,,
79,"Gascoigne","C. B.","S.",,,
80,"Proust","M.","K.",,,
81,"Robin","O.","M.",,,
82,"Gingerich",,"Owen",,,
83,"Glassgold","E.","A.",,,
84,"Huggins","J.","P.",,,
85,"Schucking","I.","E.",,,
86,"Goldberg",,"Leo",,,
87,"Griffen","F.","R.",,,
88,"Hale","Ellery","George",,,
89,"Ellerman",,"Francis",,,
90,"Parkhurst","A.","J.",,,
91,"Kent","A.","Norton",,,
92,"Hanisch","J.","R.",,,
93,"Brissenden","J. V.","R.",,,
95,"Barnes",,"J.",,,
96,"Haramundanis",,"Katherine",,,"Daughter of Cecilia Payne-Gaposchkin"
98,"Hargrove","C.","Eugene",,,
99,"Harrison","R.","George",,,
100,"Hearnshaw","B.","J.",,,
102,"Herbig","H.","George",,,
103,"Henry","C.","Richard",,,
104,"Landsman","B.","Wayne",,,
105,"Murthy",,"Jayant",,,
106,"Tennyson","D.","Peter",,,
107,"Wofford","B.","James",,,
108,"Wilson",,"Robert",,,
109,"Herschel","F. W.","John",,,"Sir John Herschel"
110,"Herzberg",,"Gerhard",,,
111,"Spinks","W. T.","J.",,,
112,"Hey","S.","J.",,,
113,"Hollenback","J.","D.",,,
114,"Thronson","A.","Harley",,,
115,"Houk",,"Nancy",,,
116,"Newberry","V.","Michael",,,
118,"Irvine","J.","Nelson",,,
119,"Rosenbush",,"David",,,
120,"Howse",,"Derek",,,
121,"Hoyt","Graves","William",,,
122,"Hubble",,"Edwin",,,
123,"Huggins",,"William",,,"Sir William Huggins"
124,"Huggins",,"Lady",,,"Wife of Sir William Huggins"
125,"Jacob","H.","Donald",,,
126,"Jaschek",,"Carlos",,,
127,"Murtagh",,"Fionn",,,
128,"Jaschek",,"Mercedes",,,
129,"Jeans","H.","James",,,"Sir James H. Jeans"
130,"Jones","Z.","B.",,,
131,"Boyd","G.","L.",,,
132,"Jones","Zaban","Bessie",,,
133,"Kaler","B.","James",,,
134,"Kenney","A.","Louis",,,
135,"Kirchoff",,"Gustav",,,
136,"Kopal",,"Zdenek",,,
137,"Koppes","R.","Clayton",,,
138,"Kurucz","L. L.","Robert",,,
139,"Furnelid",,"Ingemar",,,
140,"Brault",,"James",,,
141,"Testerman",,"Larry",,,
142,"Lamb",,"Horace",,,
143,"Levy","H.","David",,,
144,"Lockyer","Norman","J.",,,
145,"Lovell",,"Bernard",,,
146,"Lovelock",,"James",,,
147,"Allaby",,"Michael",,,
148,"Maffeo",,"Sabino",,,"Society of Jesus"
149,"Coyne","V.","George",,,"Society of Jesus"
150,"Malina","F.","Roger",,,
151,"Bowyer",,"Stuart",,,
152,"Mascart","E.","M.",,,
153,"McDougall","A.","Walter",,,
154,"McGucken",,"William",,,
155,"Mihalis",,"Dimitri",,,
156,"Mihalis",,"Barbara",,,
157,"Milne","A.","E.",,,
158,"Morgan","W.","William",,,
159,"Abt","A.","Helmut",,,
160,"Tabscott","W.","J.",,,"Photographic assistant at Yerkes Observatory."
161,"Moulton","Ray","Forest",,,
162,"Murdin",,"Lesley",,,
163,"Murray","A.","C.",,,
164,"Narrien",,"John",,,
166,"Neugebauer",,"Otto",,,
167,"Nininger","H.","Harvey",,,
168,"Osterbrock","E.","Donald",,,
169,"Gustafson","R.","J.",,,
170,"Unruh","J. Shiloh","W.",,,
171,"Pais",,"Abraham",,,
172,"Payne","H.","Cecilia",,,"later Payne-Gaposhkin"
173,"Peebles","James E.","P.",,,
174,"Podobed","V.","V.",,,
175,"Preston",,"Richard",,,
176,"Proctor","A.","Richard",,,
177,"Ritchy","W.","George",,,
178,"Ronan","A.","Colin",,,
179,"Roscoe","Enfield","Henry",,,
180,"Rosseland",,"Svein",,,
181,"Rowland","Augustus","Henry",,,
182,"Russell","Norris","Henry",,,
183,"Salet",,"P.",,,
184,"Saward",,"Dudley",,,
185,"Scheiner",,"J.",,,
186,"Schellen",,"H.",,,
187,"Lassell",,"Jane",,,
188,"Lassell",,"Caroline",,,
189,"Shapiro","L.","S.",,,
190,"Teukolsky","A.","S.",,,
191,"Shapley",,"Harlow",,,
192,"Sheehan",,"William",,,
193,"Shklovskii","Samuilovich","Iosif",01/01/1917 0:00:00,,"also spelled Shklovsky"
194,"Sagan",,"Carl",,01/01/1997 0:00:00,
195,"Smartt","Marshall","William",,,
196,"Smith","W.","Robert",,,
197,"Spitzer","J.","Lyman",,01/01/1997 0:00:00,
198,"Stephenson",,"Bruce",,,
199,"Sternberg",,"Shlomo",,,
200,"Swerdlow",,"Noel",,,
201,"Tassoul",,"Jean-Louis",,,
202,"Terrell",,"Dirk",,,
203,"Mukherjee","D.","J.",,,
204,"Tombaugh","W.","Clyde",,01/01/1997 0:00:00,
205,"Moore",,"Patrick",,,
206,"Tucker","H.","Wallace",,,
207,"Tuckerman",,"Alfred",,,
208,"Tufte","Rolf","Edward",,,
209,"Ulmer","P.","Melville",,,
210,"van Helden",,"Albert",,,
211,"Verschurr","L.","Gerrit",,,
212,"Kellerman","I.","K.",,,
213,"Wali",,"Kameshwar",,,
214,"Webb","Ernest","George",,,
215,"Wienberg",,"Steve",,,
216,"Wilard","C.","Berton",,,
217,"Wright",,"Helen",,,
218,"Zombeck","V.","Martin",,,
219,"Wilson","E.","R.",,,
220,"Phillip","G. Davis","A.",,,
221,"Hauck",,"Bernard",,,
222,"Upgren","R.","Arthur",,,
223,"Smoluchowski",,"Roman",,,
224,"Bahcall","N.","John",,,
225,"Matthews","Sharp","Mildred",,,
226,"Tattersfield",,"D.",,,
227,"Di Gesu",,"V.",,,
228,"Scarsi",,"L.",,,
229,"Crane",,"P.",,,
230,"Craig","J. D.","Ian",,,
231,"Brown","C.","John",,,
232,"Kitchen","R.","C.",,,
233,"Harwit",,"Martin",,,
234,"Schroeder","J.","Daniel",,,
236,"Couteau",,"Paul",,,
237,"Battan",,"Alan",,,
238,"Glasstone",,"Samuel",,,
239,"Goldsmith",,"Donald",,,
240,"Rothery","A.","David",,,
241,"Chaisson","J.","Eric",,,
242,"Hanbury Brown",,"R.",,,
243,"Florence",,"Ronald",,,
244,"Candler",,"C.",,,
245,"Dufay",,"Jean",,,
246,"Carr","H.","Michael",,,
247,"Emerson",,"D.",,,
248,"Doyle","Reeve","Laurance",,,
249,"Wright","L.","Jerome",,,
250,"Zubrin","M.","Robert",,,
251,"Wagner","S,","Richard",01/01/1953 0:00:00,,
252,"Stern",,"Alan",,,
253,"Mitton",,"Jacqueline",,,
254,"Lyman",,"Theodore",,,
255,"Uhler","S","H",,,
256,"Wood","Wilson","Robert",,,
257,"Payne-Gaposchkin",,"Cecilia",,,"See also Cecilia Payne"
258,"Gaposchkin",,"Sergei",,,"Husband of Cecilia Payne-Gaposchkin"
259,"Watts","Marshall","W.",,,"D.Sc., Senior Physical Science Master in the Manchester Grammer School (1872)"
260,"Living","D.","G.",,,"Fellow of St. John's College, Professor of Chemistry"
261,"Dewar",,"J.",,,"Fellow of Peterhouse, Jacksonian Professor in the University of Cambridge"
262,"Stoney","Johnstone","George",,,
263,"Aitken","Grant","Robert",,,
264,"Edmonson","K.","Frank",,,
265,,,,,,"Empty Record"
266,"Hartree","R.","D.",01/01/1897 0:00:00,01/01/1958 0:00:00,"F.R.S., Plummer Professor of mathematical physics at Cambridge University"
267,"Sommerfeld",,"Arnold",01/01/1868 0:00:00,01/01/1951 0:00:00,
268,"Martin","R.","A.",,,
269,"Schwarzshild",,"Martin",,,
