"AuthorID"|"LastName"|"MiddleName"|"FirstName"|"Born"|"Died"|"Comments"
23|"Albrecht"|"A."|"Miguel"|0-0-0|0-0-0|
24|"Egret"||"Daniel"|0-0-0|0-0-0|
25|"Alexander"|"Francis O'Donel"|"Arthur"|0-0-0|0-0-0|
26|"Aller"|"H,"|"Lawrence"|0-0-0|0-0-0|
27|"Ames"|"S."|"J"|0-0-0|0-0-0|
29|"Armitage"||"Angus"|0-0-0|0-0-0|
30|"Arp"||"Halton"|0-0-0|0-0-0|"Known by his nickname Chip"
31|"Batson"|"M."|"R."|0-0-0|0-0-0|
32|"Bridges"|"M."|"Patricia"|0-0-0|0-0-0|
33|"Inge"|"L."|"Jay"|0-0-0|0-0-0|
34|"Batten"|"H."|"Alan"|0-0-0|0-0-0|
35|"Bell"||"Louis"|0-0-0|0-0-0|
36|"Binney"||"James"|0-0-0|0-0-0|
37|"Tremaine"||"Scott"|0-0-0|0-0-0|
38|"Brashear"||"John"|0-0-0|0-0-0|
39|"Scaife"|"Lucien"|"W."|0-0-0|0-0-0|
40|"Bruck"|"Alexander"|"Hermann"|0-0-0|0-0-0|
41|"Bruck"|"T."|"Mary"|0-0-0|0-0-0|
42|"Burbidge"||"Geoffrey"|0-0-0|0-0-0|
43|"Burbidge"||"Margaret"|0-0-0|0-0-0|
44|"Burnham"|"W."|"Shelly"|0-0-0|0-0-0|
45|"Burton"|"B."|"W."|0-0-0|0-0-0|
46|"Elmegreen"|"G."|"Bruce"|0-0-0|0-0-0|
47|"Genzel"||"R."|0-0-0|0-0-0|
48|"Buttman"||"Gunther"|0-0-0|0-0-0|
49|"Chandrasekhar"||"S."||1/1/1996 0:00:00|
50|"Christianson"|"E."|"Gale"|0-0-0|0-0-0|
51|"Clerke"|"M."|"Agnus"|0-0-0|0-0-0|
52|"Cox"|"P."|"John"|0-0-0|0-0-0|
53|"Cutri"|"M."|"Roc"|0-0-0|0-0-0|
54|"Latter"|"B."|"William"|0-0-0|0-0-0|
55|"Dalgarno"||"A."|0-0-0|0-0-0|
56|"Layzer"||"David"|0-0-0|0-0-0|
57|"De Morgan"||"Augustus"|0-0-0|0-0-0|
58|"Doazan"||"V."|0-0-0|0-0-0|
60|"Sedmak"||"G."|0-0-0|0-0-0|
61|"Barylak"||"M."|0-0-0|0-0-0|
62|"Rusconi"||"L."|0-0-0|0-0-0|
63|"Drake"||"Stillman"|0-0-0|0-0-0|
64|"Eddington"|"Stanley"|"Arthur"|0-0-0|0-0-0|
65|"Evans"|"S."|"David"|0-0-0|0-0-0|
66|"Deeming"|"J."|"Terence"|0-0-0|0-0-0|
67|"Evans"|"Hall"|"Betty"|0-0-0|0-0-0|
68|"Goldfarb"||"Stephen"|0-0-0|0-0-0|
70|"Mullholland"|"Derral"|"J."|0-0-0|0-0-0|
71|"Farnsworth"|"Hall"|"Alice"|0-0-0|0-0-0|
72|"Flower"||"David"|0-0-0|0-0-0|
73|"Fogg"|"J."|"Martyn"|0-0-0|0-0-0|
74|"Forbes"|"J."|"Eric"|0-0-0|0-0-0|
75|"Frost"|"Brant"|"Edwin"|0-0-0|0-0-0|
76|"Stuve"||"Otto"|0-0-0|0-0-0|
77|"Elvey"|"T."|"C."|0-0-0|0-0-0|
78|"Garrison"|"F."|"Robert"|0-0-0|0-0-0|
79|"Gascoigne"|"C. B."|"S."|0-0-0|0-0-0|
80|"Proust"|"M."|"K."|0-0-0|0-0-0|
81|"Robin"|"O."|"M."|0-0-0|0-0-0|
82|"Gingerich"||"Owen"|0-0-0|0-0-0|
83|"Glassgold"|"E."|"A."|0-0-0|0-0-0|
84|"Huggins"|"J."|"P."|0-0-0|0-0-0|
85|"Schucking"|"I."|"E."|0-0-0|0-0-0|
86|"Goldberg"||"Leo"|0-0-0|0-0-0|
87|"Griffen"|"F."|"R."|0-0-0|0-0-0|
88|"Hale"|"Ellery"|"George"|0-0-0|0-0-0|
89|"Ellerman"||"Francis"|0-0-0|0-0-0|
90|"Parkhurst"|"A."|"J."|0-0-0|0-0-0|
91|"Kent"|"A."|"Norton"|0-0-0|0-0-0|
92|"Hanisch"|"J."|"R."|0-0-0|0-0-0|
93|"Brissenden"|"J. V."|"R."|0-0-0|0-0-0|
95|"Barnes"||"J."|0-0-0|0-0-0|
