BookID|Title|Copyright|Edition|Printing|PurchaseDate|PurchasePrice|PurchasedFrom|PublishedAt|Publisher|Condition|Description|Comments|Wanted|AccessionNumber|
1092|Publications of the Yerkes Observatory, vol II|1904|1| |1984-01-01|0.00|17|Chicago|14|Fine|9 3/8 x 11 5/8 in, (6), 413 pp, Orig. cloth|Signature of James D. Madrill. Also issued as vol VIII of the 1st series of the Decennial Publications of the University of Chicago.|0|18|
1093|Publications of the Yerkes Observatory, vol I|1900|1| |1984-01-01|0.00|17|Chicago|14|Fine|9 3/8 x 11 5/8 in, (1), xxx, (2), 296, (1) pp, Orig. cloth|Consists entirely of A General Catalogue of 1290 Double Stars by S.W. Burnham. This record duplicated in accession number 17.|0|124|
1094|The Journal of the AAVSO|1987|1|1|1987-01-01|0.00|18|Cambridge, MA|18|As New|8.5 x 5.5  in, 69 - 354 pp, paper, vol 15 number 2|75th Anniversary Edition, ex lib. JRF|0|47|
1095|Databases & On-Line Data in Astronomy|1991|1|1|1991-07-30|69.00|19|Dordrecht|19|As New|9.5 x 6.5 in, xiv, 273 pp, Orig. cloth||0|100|
1096|The Planet Saturn: A History of Observation, Theory, and Discovery|1962|1|1|1991-09-23|35.00|23|London|21|Fine|8.5 x 5.5, 474 pp, 22 plates,  Orig. cloth w/dj||0|105|
1097|The Planet Uranus: A History of Observation, Theory, and Discovery|1965|1|1|1988-12-01|20.00|25|New York|24|Fine|8.5 x 5.75 in, 316 pp, 20 figs, 11 plates, frontis, Orig. cloth w/dj||0|29|
1098|Gaseous Nebulae|1956|1| |1994-01-12|30.00|4|London|26|Fine|8 x 5, xvi, 322 pp, Orig. cloth|part of The International Astrophysics Theory, vol 3|0|151|
1099|Prismatic and Diffraction Spectra|1898|1| |1992-10-28|125.00|11|New York|27|Fine|8 x 5.5 in,  viii, 68 pp, 2 engraved plates, Orig. cloth|signature of E.S. Barr, a collection of  four papers on spectra, three by Fraunhofer and one by Wollaston, number 2 in Harper's Scientific Memoirs, a few notes in text|0|123|
1100|Copernicus: The Founder of Modern Astronomy|1938|1|1|1992-02-08|25.00|4|London|28|Very Good|.5 x 5.5 in, 183 pp, Frontis, 37 text Illus.,  Orig. cloth w/dj slightly tattered|Part of the 'History of Science Library'|0|113|
1101|William Herschel|1962|1|1|1992-02-08|30.00|4|London|29|Fine|8 x 5.5 in, xii, 158 pp, 24 plates, 14 figs, Orig. cloth w/dj|part of the 'British Men of Science' series|0|112|
1102|Quasars, Redshifts and Controversies|1987|1|2|1996-09-03|35.00|4|Berkeley, CA.|30|Fine|9.25 x 6.5, (8), 198 pp, cloth with original dust jacket|Knollwood Books, cat 77 Sept. 96 item 23|0|170|
1103|Atlas of Mars|1979|1|1|1996-09-03|60.00|4|Washington D.C.|31|Fine|14 x 11, xii, 146 pp, original cloth.|1:5,000,000 map series of Mars based on data from Mariner 9 and Viking 1 & 2. Knollwood books cat 77 Sept. 96, item 29|0|171|
1104|Resolute and Undertaking Characters: The Lives of Wilhelm and Otto Struve|1988|1|1|1985-01-01|1.00|19|Dordrecht|32|As New|9.5 x 6.25 in, xxv, 259 pp|Astrophysics and Space Sciences Library, ex lib. JRF|0|35|
1105|The Telescope|1922|1|7|1993-08-02|9.00|36|New York|33|Fine|5.5 x 8.25 in, (2)x,287(3) pp, 190 figs, Orig. cloth||0|145|
1106|Galactic Dynamics|1987|1|1|1987-01-01|1.00|34|Princeton|34|Fine|9.25 x 6.125 in, xv, 733 pp, Orig. cloth w/dj|Princeton Series in Astrophysics, ex lib. JRF|0|62|
1107|The Autobiography of a Man Who Loved the Stars|1924|1|1|1991-03-11|0.00|37|New York|35|Good|8.825 x 6 in, xxii, (2), 262, (4) pp, 24 Illus., some water staining, front cover stained, front joint cracked||0|90|
1108|The Peripatetic Astronomer: The Life of Charles Piazzi Smith|1988|1|1|1989-03-22|80.00|39|Bristol|38|As New|9.25 x 6.25, xii, 274 pp, w/dj||0|31|
1109|Quasi-Stellar Objects|1967|1|1|1985-01-01|1.00|41|San Francisco|40|Fine|8 x 5.5 in, viii, (4), 235 pp, Orig. cloth w/dj|ex lib. JRF|0|56|
1110|A General Catalogue of 1290 Double Stars|1900|1|1|1984-01-01|1.00|17|Chicago|14|As New|9.5 x 11.865 in, xxx, (1), 296 pp, Orig. cloth|Publication of the Yerkes Observatory, vol 1, from the original stock at Yerkes. This record duplicated in accession number 124|0|17|
1111|The Galactic Interstellar Medium|1992|1|1|1993-08-21|59.00|43|New York|42|As New|5.5 x 7, xii,400 pp,  Orig. cloth|Lecture Notes from the Saas-Fee Advanced Course 21 which took place 18 - 23 March 1991. Held by the Swiss Society for Astronomy and Astrophysics.|0|147|
1112|The Shadow of the Telescope: A Biography of John Herschel|1970|1|1|1992-05-23|15.00|45|New York|44|Fine|9.25 x 6.25 in, xiv, 219 pp, 17 Illus., Orig. cloth w.dj|originally published in German, 1965|0|121|
1113|Ellipsoidal Figures of Equilibrium|1969|1|1|1985-01-01|25.00|12|New Haven|46|Fine|9.25 x 6.25 in, xi, 252, Orig. cloth|The Stillman Foundation lectures, #42, ex lib. JRF|0|72|
1114|Radiative Transfer|1950|1|1|1989-11-14|85.00|6|Oxford|47|Very Good|6 x 9.35 in, xiv, 393, (1) pp, 35 tables, 35 figs|ex lib. A.E. Lilly, stamped,   TAS cat 21 item 68|0|4|
1115|An Introduction to the Study of Stellar Structure|1939|1| |1989-11-14|95.00|6|Chicago|14|Very Good|6.75 x 9.5 in, ix, (1), 509 pp, 44 tbls, 38 figs,  spine slightly faded,  pages 84-85 stained from insert, 3/4 in tear pp 257 - 264 4 sheets|ex lib. Leo Goldberg,  signature and bookplate|0|5|
1116|In the Presence of the Creator: Isaac Newton and his Times|1984|1|1|1983-01-01|1.00|12|New York|48|Fine|6 x 9 in, xv, 623 pp, 23 plates, Orig. cloth, missing issued dust jacket||0|25|
1117|Edwin Hubble: Mariner of the Nebulae|1995|1|1|1995-09-24|27.50|50|New York|49|As New|9 x 6,  x,(1),420,(1) pp,  8 plates,  Orig. cloth, w/dj||0|158|
1118|The System of Stars|1890| | |1990-05-17|0.00| |London|51|Good|8.75 x 5.75 in, xx, 424,  (24) pp, 6 tables, 50 figs, 6 plates,  some stains on binding, water damage to lower 1/2 in of binding|ex lib. Bib. Maj. Collegii: Stonyhurst, ink stamp and paper label, gift from Joan Warnock, Alamogordo, NM.|0|28|
1119|Problems in Astrophysics|1903|1|1|1995-01-09|80.00|4|London|52|Fine|5.5 x 9, xvi, 567 pp., 31 plates 51 figures, Orig. cloth||0|156|
1120|Theory of Stellar Pulsation|1980|1|1|1001-01-01|1.00|34|Princeton|34|Fine|9.25 x 6.25 in, xiv, 380 pp Orig. cloth w/dj|Princeton Series in  Astrophysics #2, ex lib. JRF|0|74|
1121|The First Symposium on the Infrared Cirrus and Diffuse Interstellar Clouds|1994|1|1|1994-06-01|0.00|53|San Francisco, Ca.|53|As New|6 x 9, xxii, 440 pp, Orig. cloth|Received as Conference proceedings, ASP Conf. Series vol 58, Steward Obs. Pub. no.1188, NRAO Workshop proc. no. 24.|0|153|
1122|Spectroscopy of Astrophysical Plasmas|1987|1|1|1990-05-07|1.00|54|Cambridge|54|As New|9.75 x 6 7/8 in, xiv, 357 pp Orig. cloth|Cambridge Astrophysics Series #7|0|53|
1123|A Budget of Paradoxes|1872|1|1|1989-11-14|175.00|6|London|51|Good|8vo, viii, 512  (24 oub cat dtd Mar 1872) pp, Orig. cloth, spine faded and cracked, pages stiff|ex lib. Wm Sims (?) signature|0|6|
1124|A Be Star Atlas of Far UV and Optical High Resolution Spectra|1991|1|1|1992-04-01|0.00| |Noordwijk, Netherlands|55|Fine|12 x 8.5 in, iv, 379 pp, paper covers|ESA SP-1147|0|139|
1125|Galileo: Two New Sciences|1974| | |1980-01-01|5.95|43|Madison|56|Fine|9 x 6 in, xxxix, (1), 323 pp, Orig. cloth|ex lib. JRF|0|50|
1126|The Internal Constitution of Stars|1930|1|2|1985-01-01|50.00|41|Cambridge|54|Fine|7.25 x 10.5 in, x, 407 pp, 5 figs, 48 tbls, Orig. cloth|ex lib. Robert C. Cameron w/signature, some penciled notes|0|12|
1127|Under Capricorn: A History of  Southern Hemisphere Astronomy|1988|1| |1989-03-22|80.00|39|Bristol|38|As New|9 1/8 x 6 1/8 in, x, 376 pp, Orig. cloth||0|32|
1128|Herschel at the Cape|1969|1| |1991-09-23|30.00|4|Austin|57|Fine|9 x 6 in, xxxviii, 398 pp, 20 plates, 13 figs, 2 maps, Orig. cloth w/dj||0|104|
1129|Big and Bright: A History of McDonald Observatory|1986|1| |1001-01-01|9.95|58|Austin|57|Fine|8.5 x 5.5 in xii, (2), 186 pp, paper|University of Texas Press History of Science Series 4, ex lib. JRF|0|43|
1130|A Comparison of the Photometric Fields ...|1926|1|1|1992-05-28|0.00|17|Chicago|14|Fine|11.75 x 9.25 in, 37 pp, paper|reprint from Vol. IV, part V of Publications of the Yerkes Observatory, thesis of A.H. Farnsworth|0|128|
1131|Molecular Collisions in the Interstellar Medium|1990|1| |1990-05-07|1.00|54|Cambridge|54|As New|9.75 x 6 7/8 in, xii, 133 pp, Orig. cloth|Cambridge Astrophysical Series #17|0|55|
1132|Terraforming: Engineering Planetary Environments|1995|1|1|1996-10-29|49.50|59|Warrendale, PA|59|As New|10 x 7, xvi, 544 pp,||0|172|
1133|The Gresham Lectures of John Flamsteed|1975| | |1991-11-26|22.50|36|London|60|Fine|9.25 x 6.25 in, xviii, 479 pp, Orig. cloth, some minor wrinkling of pages due to water but no staining, adhesive label removed from upper right corner of outside front cover||0|109|
1134|A Study of the Spectrum of 7 Epsilon Aurigae|1932| | |1992-05-28|0.00|17|Chicago|14|Fine|11.75 x 9.25 in,  52 pp,  3 plates, paper|reprint from Vol. VII, part II of Publications of the Yerkes Observatory|0|126|
1135|An Astronomer's Life|1933|1| |1989-03-22|15.00|8|Boston|62|Fine|5.5 x 8 1/8 in, xi, 300 pp, 8 plates, Orig. cloth|inscribed to Dr. E. V. L. Brown by author,  with signature, insert incomplete newspaper clipping from Chicago Daily Tribune , dtd  July 13, 1931, concerning author|0|16|
